Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"175","Weather_SandStorm( ... )","0","0","0","166","2","0"
"176","","27124","2500","500","0","2","0"
"177","Weather_CleansingRain ( ... )","0","0","0","166","2","0"
"178","","28696","1500","0","0","2","0"
"179","Weather_SunnyDay( ... )","0","0","0","166","2","0"
"180","","27127","2500","500","0","1","0"
"181","Weather_Moonlight( ... )","0","0","0","166","2","0"
"182","Dispatcher_MultiAttack ( ... )","28730","250","250","159","0","0"
"183","Create_Clone ( ... )","0","0","0","188","0","0"
"184","Dispatcher_Blinkstrike ( ... )","28767","0","0","159","0","0"
"185","Dispatcher_MultiAttack( ... )","27156","250","250","159","1","0"
"186","","27157","1500","0","0","2","0"
"187","Dispatcher_Surge( ... )","27162","100","250","184","2","0"
"188","","201","250","0","0","0","0"
"189","","27164","250","500","0","2","0"
"190","Dispatcher_AlternateVisualOnMultiHit( 27167, ... )","27167","250","0","159","0","0"
"191","Control_FrostTrap( ... )","0","0","0","166","1","0"
"192","","27168","250","750","0","1","0"
"193","Aquatic_TidalWave ( ... )","28898","500","1500","184","2","0"
"194","","27202","1500","500","0","2","0"
"195","","28302","250","750","0","2","0"
"196","Elemental_LavaWave ( ... )","28899","500","1500","225","2","0"
"197","","28808","1500","500","0","1","0"
"198","","27221","250","750","0","1","0"
"199","","26223","250","750","0","1","0"
"200","Flying_LiftOff( ... )","27426","0","0","168","2","0"
"201","Flying_FlyingAttack( ... )","28889","0","0","168","2","0"
"202","","28333","250","250","0","0","0"
"205","","27363","0","0","0","2","0"
"206","Flying_FlyingAttack( ... )","27364","250","250","168","0","0"
"207","Humanoid_BodySlam( ... )","28861","0","0","209","1","0"
"208","Critter_Powerball( ... )","28350","0","0","189","1","0"
"209","Humanoid_BodySlam( ... )","28755","0","0","209","1","0"
"210","Beast_HornAttack ( ... )","28769","250","250","164","1","0"
"211","","27400","250","1000","0","1","0"
"212","Mechanical_SmokeCloud( ... )","0","0","0","166","0","0"
"213","","28679","0","0","0","2","0"
"214","","27401","250","500","0","2","0"
"215","Dispatcher_BuildBoombot( ... )","27406","250","750","163","2","0"
"216","CreateObject_Boombot( ... )","8780","0","0","163","2","0"
"217","Dispatcher_DetonateBoombot( ... )","27405","250","250","163","2","0"
"218","","27411","250","750","0","1","0"
"219","Critter_SwarmOfFlies( ... )","0","0","0","166","2","0"
"220","","27414","250","250","0","2","0"
"221","","27415","250","750","0","1","0"
"222","","0","0","0","0","2","0"
"223","","27426","0","0","0","2","0"
"224","","27424","500","1000","0","1","0"
"225","CreateObject_WildWinds( ""SPELLS\\Cyclone_NoDebris.M2"", 0.125, 0.0025, ... ) ","0","0","0","168","2","0"
"226","Flying_WildWindAttack( ... )","27426","0","0","168","2","0"
"227","Humanoid_BodySlam( ... )","28868","0","0","209","0","0"
"228","Elemental_Plant( 229, ...  ) ","27430","2000","0","225","2","0"
"229","","28837","250","750","0","1","0"
"230","","27464","250","500","0","0","0"
"231","","27466","250","750","0","1","0"
"232","","27467","500","500","0","2","0"
"233","","27470","500","500","0","2","0"
"234","","27469","0","500","0","2","0"
"235","","27472","1","500","0","2","0"
"236","Mechanical_BuildThingOnAuraApply( ... )","26998","250","250","163","0","0"
"237","CreateObject_TargetDummy ( ... )","0","0","0","163","2","0"
"238","","27477","1","500","0","2","0"
"239","","27486","0","0","0","2","0"
"240","Critter_Apocalypse ( ... )","0","0","0","166","0","0"
"241","","27615","0","0","0","2","0"
"242","Flying_FlyingMeteorAttack( ... )","27616","250","250","168","0","0"
"243","Elemental_Flamethrower( ... )","0","0","0","166","0","0"
"244","DefaultTurnBehaviour_Periodic( ... )","27119","0","0","159","2","0"
"245","","27620","500","1000","0","1","0"
"246","Flying_Nevermore( ... )","27624","0","0","168","2","0"
"247","","27622","500","500","0","1","0"
"248","Humanoid_DreadfulBreath ( ... )","27628","1000","500","209","1","0"
"249","","28686","0","0","0","2","0"
"250","","27665","0","0","0","2","0"
"251","","27666","500","1000","0","1","0"
"252","","27668","0","0","0","2","0"
"253","Humanoid_Whirlwind ( false, ... )","27671","0","0","209","0","0"
"254","Mechanical_BuildThingOnAuraApplyTarget( ... )","26998","250","250","163","0","0"
"255","CreateObject_SnapTrap ( ... )","0","0","0","163","2","0"
"256","Dispatcher_TriggerSnapTrap ( ... )","27683","0","0","163","2","0"
"257","","27687","0","0","0","2","0"
"258","","27688","0","500","0","1","0"
"259","DefaultTurnBehaviour_Periodic( ... )","28788","0","0","159","2","0"
"260","","27690","0","0","0","2","0"
"261","Generic_CastVisualAtNextObjectLocation( ... )","27694","250","750","159","1","0"
"262","Elemental_SporeShroom ( ... )","0","0","0","163","2","0"
"263","","27695","0","0","0","2","0"
"264","DefaultTurnBehaviour_Periodic( ... )","27696","0","0","159","2","0"
"265","Elemental_SporeBurst( ... )","0","0","0","163","0","0"
"266","","27714","0","0","0","2","0"
"267","","28678","1000","500","0","1","0"
"268","","27718","250","750","0","1","0"
"269","","28741","250","250","0","0","0"
"270","","27720","0","0","0","2","0"
"271","Dispatcher_Headbutt( ... )","26766","250","250","164","2","0"
"272","","27750","250","250","0","0","0"
"273","","27751","0","500","0","1","0"
"274","Humanoid_BodySlam( ... )","27754","0","0","209","1","0"
"275","","27755","500","0","0","2","0"
"276","Humanoid_Omnislash ( ... )","27757","0","0","209","0","0"
"277","","27760","250","500","0","2","0"
"278","","27762","250","500","0","1","0"
"279","","27763","500","750","0","1","0"
"280","","27764","250","750","0","1","0"
"281","","27765","250","750","0","1","0"
"282","","27766","250","750","0","1","0"
"283","","27767","0","0","0","2","0"
"284","Dispatcher_OnlyTurnAnimateTheEffects1toN( 6, ... )","28911","150","350","159","1","0"
"285","Dispatcher_Surge( ... )","28714","0","250","184","2","0"
"286","","27778","0","1000","0","1","0"
"287","Generic_CastVisualAtNextObjectLocation( ... )","27782","500","1500","159","2","0"
"288","Elemental_CreateVolcano ( ... )","0","0","0","163","2","0"
"289","Elemental_Volcano_Erupt( ... )","27793","0","1000","163","1","0"
"290","Undead_DeathGrip( ... )","27799","0","0","238","2","0"
"291","","27809","0","1250","0","1","0"
"292","","27813","0","0","0","2","0"
"293","","27816","0","0","0","2","0"
"294","","28276","0","0","0","2","0"
"296","Generic_CastVisualAtNextObjectLocation(  ... )","27852","0","0","159","2","0"
"297","Generic_CastVisualAtNextObjectLocation(  ... )","27855","250","1000","159","2","0"
"298","","27858","250","250","0","0","0"
"299","","28274","250","1000","0","1","0"
"300","","27868","0","1000","0","2","0"
"301","","27869","500","500","0","2","0"
"302","","27873","250","250","0","1","0"
"303","","27881","250","250","0","1","0"
"304","","27885","100","500","0","0","0"
"305","","27890","250","750","0","1","0"
"306","","27893","250","500","0","1","0"
"307","","27894","250","500","0","1","0"
"308","","27905","250","750","0","2","0"
"309","","27908","250","250","0","0","0"
"310","","27913","100","250","0","2","0"
"311","","27914","250","750","0","0","0"
"312","","27915","250","500","0","1","0"
"313","","27916","250","250","0","0","0"
"315","","27920","250","250","0","0","0"
"316","","27921","0","0","0","2","0"
"317","","27922","250","250","0","1","0"
"318","","27923","250","250","0","0","0"
"319","","27924","250","250","0","0","0"
"320","","27925","250","250","0","2","0"
"321","","27926","250","250","0","0","0"
"322","","27927","250","250","0","0","0"
"323","","27928","250","1000","0","1","0"
"324","","27930","150","750","0","0","0"
"325","","27931","250","250","0","0","0"
"326","","27932","250","250","0","0","0"
"327","","27933","250","250","0","0","0"
"328","","27934","250","500","0","1","0"
"329","","27936","250","250","0","0","0"
"330","","27935","250","1500","0","0","0"
"331","","27939","200","500","0","2","0"
"332","","27942","150","750","0","1","0"
"333","","27944","150","750","0","1","0"
"334","","27945","250","250","0","0","0"
"335","","27946","1000","1500","0","1","0"
"336","","27947","250","250","0","0","0"
"337","","27935","250","750","0","2","0"
"338","","27948","250","250","0","0","0"
"339","","27949","250","1000","0","2","0"
"340","","27951","750","0","0","2","0"
"341","","27952","100","1000","0","2","0"
"342","","27953","250","750","0","1","0"
"343","","27957","250","750","0","1","0"
"344","","27958","250","750","0","1","0"
"346","","27964","500","750","0","2","0"
"348","","26856","250","250","0","0","0"
"349","","27974","0","500","0","2","0"
"350","Dispatcher_MultiAttack ( ... )","27978","250","250","159","0","0"
"351","","27983","250","250","0","0","0"
"352","","27984","0","1500","0","1","0"
"353","","27985","1000","0","0","2","0"
"354","","27986","250","750","0","1","0"
"355","","27986","250","1500","0","1","0"
"356","Beast_FeignDeath( ... )","28035","0","0","164","2","0"
"357","","28031","250","1250","0","2","0"
"358","","28034","250","500","0","1","0"
"359","","28035","150","1500","0","1","0"
"360","","28037","250","750","0","2","0"
"361","","28039","250","500","0","1","0"
"362","","28051","250","750","0","2","0"
"363","","28056","150","150","0","1","0"
"364","","28054","250","750","0","1","0"
"365","","28057","250","750","0","2","0"
"366","","28058","300","500","0","2","0"
"367","","28059","200","500","0","2","0"
"368","","28061","250","750","0","2","0"
"369","","28063","300","500","0","2","0"
"370","","28062","500","500","0","2","0"
"371","","28065","250","1250","0","1","0"
"372","Dispatcher_MultiAttack ( ... )","28070","250","500","159","0","0"
"373","","28073","250","250","0","0","0"
"374","","28074","250","500","0","1","0"
"375","","28075","250","0","0","0","0"
"376","","28076","250","250","0","2","0"
"377","","28077","250","250","0","2","0"
"378","","28078","250","750","0","1","0"
"379","","28079","250","750","0","1","0"
"380","","28081","250","250","0","0","0"
"381","","28080","0","0","0","2","0"
"382","","28082","500","500","0","2","0"
"383","","28085","300","750","0","1","0"
"384","","28088","0","0","0","2","0"
"385","","28089","250","750","0","1","0"
"386","","27911","0","0","0","2","0"
"387","","28091","0","0","0","2","0"
"388","","28094","250","500","0","0","0"
"389","","28095","250","250","0","0","0"
"390","","28096","250","250","0","0","0"
"391","","28100","250","500","0","1","0"
"392","","28104","250","500","0","2","0"
"393","","28106","250","250","0","0","0"
"394","","28853","250","750","0","1","0"
"395","","28108","250","500","0","1","0"
"396","","28109","250","500","0","1","0"
"397","","28110","250","500","0","1","0"
"398","","28111","250","500","0","1","0"
"399","","28859","250","750","0","1","0"
"400","","28112","0","500","0","2","0"
"401","","28122","250","250","0","2","0"
"402","","28124","250","250","0","0","0"
"403","","28125","250","1250","0","2","0"
"404","","28126","250","1000","0","1","0"
"405","","28131","250","1500","0","1","0"
"406","","28132","0","0","0","2","0"
"407","","28133","0","0","0","2","0"
"409","","28135","250","750","0","1","0"
"410","","28136","150","500","0","0","0"
"411","Elemental_Plant( 412, ...  ) ","28139","1250","250","225","2","0"
"412","","28198","1250","250","225","2","0"
"413","Aquatic_Polymorphed( ... )","28141","0","0","184","2","0"
"414","","28143","250","500","0","2","0"
"415","","28144","250","1500","0","2","0"
"416","","28145","250","1250","0","1","0"
"417","","28149","250","500","0","1","0"
"418","","28150","250","500","0","1","0"
"419","","28152","250","500","0","1","0"
"420","","28153","250","500","0","1","0"
"421","","28155","250","250","0","1","0"
"422","","28156","250","500","0","1","0"
"423","","28157","0","0","0","2","0"
"424","","28159","0","0","0","2","0"
"425","Dispatcher_GoHomeFirst(  ... )","28821","0","0","159","2","0"
"426","0","28160","0","0","0","0","0"
"427","","28162","500","500","0","2","0"
"428","","28165","250","250","0","0","0"
"429","CreateObject_SonsOfRagnaros( ... )","0","0","0","225","2","0"
"430","SubmergeWithAddsAttack( ... )","28164","250","500","225","1","0"
"431","","28166","250","1250","0","1","0"
"432","","28176","250","500","0","2","0"
"433","","28179","1000","500","0","2","0"
"434","","28180","500","2000","0","1","0"
"435","","28186","250","750","0","0","0"
"436","CreateObject_MagmaTrap( ... )","0","0","0","225","0","0"
"437","Dispatcher_TriggerMagmaTrap ( ... )","28191","0","0","225","2","0"
"438","","28194","250","750","0","1","0"
"439","","28198","0","0","0","2","0"
"440","Elemental_Plant( 441, ...  ) ","28201","500","500","225","1","0"
"441","","28204","250","750","0","0","0"
"442","","28206","250","750","0","1","0"
"443","","28207","250","750","0","1","0"
"444","Humanoid_BodySlam( ... )","28208","0","0","209","1","0"
"445","Humanoid_BodySlam( ... )","28210","0","0","209","1","0"
"446","","28211","0","0","0","1","0"
"447","","28212","1500","1500","0","1","0"
"448","Aquatic_BellySlide( 3139, ... )","28895","100","250","184","2","0"
"449","Humanoid_Whirlwind ( true, ... )","28213","0","0","209","0","0"
"450","Weather_Darkness( ... )","0","0","0","166","2","0"
"451","","28214","1500","500","0","2","0"
"452","Flying_MeteorLiftOff( ... )","0","0","0","168","2","0"
"453","","28215","250","750","0","1","0"
"455","","28254","0","0","0","2","0"
"456","Dispatcher_GoHomeFirst(  ... )","28822","0","0","159","2","0"
"457","SubmergeWithAddsAttack( ... )","28256","250","250","225","2","0"
"458","CreateObject_SonsOfRoot( ... )","0","0","0","225","2","0"
"459","","28269","0","0","0","2","0"
"460","","28272","250","250","0","0","0"
"461","","28270","0","0","0","2","0"
"462","","28275","250","250","0","2","0"
"463","","28277","250","750","0","1","0"
"464","Dispatcher_MultiAttack ( ... )","28279","250","250","159","2","0"
"465","","28278","250","750","0","1","0"
"466","","28281","250","750","0","1","0"
"467","","28282","250","250","0","2","0"
"468","","28283","0","0","0","2","0"
"469","Generic_CastVisualAtNextObjectLocation(  ... )","28285","0","0","159","1","0"
"470","","28286","250","500","0","0","0"
"471","","28287","250","750","0","2","0"
"472","","28291","250","750","0","1","0"
"473","","28292","250","750","0","1","0"
"474","","28293","250","1250","0","1","0"
"475","","28294","250","750","0","1","0"
"476","","28295","0","0","0","2","0"
"477","","28299","250","250","0","0","0"
"478","","28300","250","1000","0","1","0"
"479","","28301","250","500","0","0","0"
"480","","28307","250","750","0","2","0"
"481","","28308","250","1000","0","1","0"
"482","","28310","0","2500","0","0","0"
"483","","28311","0","0","0","0","0"
"484","","28312","0","0","0","2","0"
"485","","28317","2500","1000","0","1","0"
"486","Magic_Cleanup (...)","28318","500","1500","225","2","0"
"487","","28321","0","0","0","2","0"
"488","","28323","250","500","0","0","0"
"489","","28324","250","750","0","1","0"
"490","","28328","2000","0","0","2","0"
"491","","28329","0","0","0","2","0"
"492","","28331","250","250","0","0","0"
"493","","28334","250","250","0","0","0"
"494","","28335","250","250","0","0","0"
"495","","28338","250","750","0","1","0"
"496","","28344","250","750","0","1","0"
"497","","28348","250","500","0","1","0"
"498","","28358","0","0","0","2","0"
"499","","28359","500","500","0","2","0"
"500","Dispatcher_BuildEggs( ... )","28363","250","750","163","0","0"
"501","CreateObject_Eggs( ... )","0","0","0","163","2","0"
"502","Dispatcher_HatchEggs( ... )","28364","250","250","163","2","0"
"503","","28365","0","0","0","2","0"
"504","","28367","250","750","0","1","0"
"505","CreateObject_IceWall ( ... )","0","0","0","188","2","0"
"506","Dispatcher_BuildBeaverDam( ... )","28810","250","250","189","0","0"
"507","Dispatcher_BuildBeaverDam( ... )","28690","250","250","189","0","0"
"508","CreateObject_Barrier ( ... )","0","0","0","188","2","0"
"510","CreateObject_PBarrier ( ... )","0","0","0","188","2","0"
"511","Dispatcher_BuildBeaverDam( ... )","28862","250","250","189","0","0"
"512","CreateObject_JBarrier ( ... )","0","0","0","188","2","0"
"514","CreateObject_OnyxWall ( ... )","0","0","0","188","2","0"
"515","","28543","1000","0","0","2","0"
"516","","28646","500","500","0","1","0"
"517","","28657","0","0","0","0","0"
"518","","28661","0","0","0","0","0"
"519","","28662","250","250","0","0","0"
"520","","28666","0","1250","0","1","0"
"521","","28667","250","500","0","1","0"
"522","","28672","0","0","0","2","0"
"523","","28673","250","250","0","0","0"
"524","","28674","250","250","0","0","0"
"525","","28675","250","500","0","2","0"
"526","","28676","0","0","0","1","0"
"527","","27003","0","0","0","0","0"
"528","","28683","0","0","0","0","0"
"529","","28684","250","250","0","0","0"
"530","","28685","0","0","0","2","0"
"531","","28687","250","500","0","1","0"
"532","Dispatcher_MultiAttack ( ... )","28688","250","250","159","0","0"
"533","","28689","250","250","0","0","0"
"534","","28692","500","500","0","2","0"
"535","","28691","250","250","0","0","0"
"536","","28693","0","0","0","1","0"
"537","Elemental_Plant(536,...)","28694","250","250","225","1","0"
"538","Elemental_Plant( 607, ...  ) ","28826","250","500","225","2","0"
"539","","28695","0","750","0","1","0"
"540","","28698","0","1000","0","2","0"
"541","","28699","0","0","0","2","0"
"542","","28701","300","500","0","1","0"
"543","","28703","0","0","0","2","0"
"544","Dispatcher_MultiAttack ( ... )","28706","250","250","159","0","0"
"545","","28708","250","250","0","0","0"
"546","","28716","0","0","0","2","0"
"547","","28719","0","0","0","2","0"
"548","","28720","0","0","0","2","0"
"549","","28721","0","0","0","2","0"
"550","","28723","0","0","0","2","0"
"551","","28724","1500","0","0","2","0"
"552","","28725","250","1000","0","1","0"
"553","","28726","250","250","0","0","0"
"554","","28727","250","250","0","0","0"
"555","","28729","250","250","0","0","0"
"556","","28731","250","250","0","0","0"
"557","","28732","0","0","0","2","0"
"558","","28734","0","150","0","0","0"
"559","","28735","250","250","0","0","0"
"560","","28738","0","750","189","0","0"
"561","DefaultTurnBehaviour_Periodic( ... )","28736","250","250","0","1","0"
"563","Humanoid_HeroicLeap_LiftOff( ... )","28903","0","0","209","2","0"
"564","Humanoid_HeroicLeap_Attack( ... )","28891","250","250","209","0","0"
"565","","28746","250","250","0","2","0"
"566","","26961","0","0","0","2","0"
"567","","28747","250","750","0","1","0"
"568","","28750","250","250","0","2","0"
"569","","28751","0","0","0","2","0"
"570","","28754","250","500","0","0","0"
"571","","28758","250","250","0","0","0"
"572","","28689","0","0","0","2","0"
"573","","28760","250","250","0","0","0"
"574","","28762","0","0","0","2","0"
"575","","28763","200","500","0","2","0"
"576","","28764","250","500","0","2","0"
"577","","28765","250","250","0","0","0"
"578","","28766","250","250","0","0","0"
"579","","28768","0","0","0","0","0"
"580","","28688","250","250","0","0","0"
"581","Dispatcher_MultiAttack ( ... )","28906","250","250","159","0","0"
"582","","28773","500","250","0","2","0"
"583","","28774","0","0","0","2","0"
"584","","28775","250","250","0","2","0"
"585","","28778","1500","0","0","2","0"
"586","","36068","250","250","0","2","0"
"587","","28780","250","500","0","2","0"
"588","","28782","250","250","0","0","0"
"589","","28783","250","500","0","1","0"
"590","","28784","250","250","0","0","0"
"591","","28786","250","500","0","2","0"
"592","","28787","250","250","0","2","0"
"593","","28791","250","500","0","2","0"
"594","","28795","2000","750","0","2","0"
"595","Weather_Arcanestorm( ... )","0","0","0","166","2","0"
"596","","28796","0","0","0","2","0"
"597","","28797","250","250","0","0","0"
"598","","28803","250","1000","0","1","0"
"599","","28805","250","500","0","2","0"
"600","","28806","250","250","0","0","0"
"601","","28812","250","250","0","2","0"
"604","","28823","0","0","0","2","0"
"605","","28824","0","0","0","2","0"
"606","","28825","1500","500","0","2","0"
"607","","28827","250","750","0","1","0"
"608","","28828","250","250","0","0","0"
"609","","28829","250","250","0","2","0"
"610","Dispatcher_MultiAttack ( ... )","28907","250","250","159","0","0"
"611","","28831","250","250","0","0","0"
"612","","28834","250","250","0","0","0"
"613","","28835","250","500","0","0","0"
"614","","28839","1500","0","0","2","0"
"615","","28841","250","250","0","0","0"
"616","","28842","250","250","0","2","0"
"617","","28843","500","1500","0","2","0"
"618","","28845","250","250","0","2","0"
"619","","28846","250","750","0","2","0"
"620","","28848","250","250","0","0","0"
"621","","28850","250","250","0","0","0"
"622","","28851","250","750","0","1","0"
"623","","28855","500","0","0","0","0"
"624","","28856","250","250","0","0","0"
"625","","28857","250","500","0","0","0"
"626","","28858","0","250","0","2","0"
"627","","28860","0","0","0","2","0"
"628","","28863","0","0","0","2","0"
"629","Dispatcher_MultiAttack( ... )","28864","250","250","159","0","0"
"630","Generic_CastVisualAtNextObjectLocation(  ... )","28865","250","250","159","2","0"
"631","","28867","250","350","0","0","0"
"632","","28869","500","250","0","0","0"
"633","","28871","750","250","0","0","0"
"634","","28872","250","1000","0","2","0"
"635","","28886","0","0","0","0","0"
"636","Dispatcher_BuildBeaverDam( ... )","28890","250","250","189","0","0"
"637","Mechanical_Launch( ... )","28902","0","0","168","2","0"
"638","Mechanical_LaunchAttack( ... )","28912","0","0","168","2","0"
"639","","28900","250","250","0","2","0"
"640","","28908","250","250","0","0","0"
"641","","28902","250","250","0","2","0"
"642","","28910","250","250","0","0","0"
"643","Trap_Target(...)","28933","250","750","159","2","0"
"644","Trap_Target(...)","28934","250","750","159","2","0"
"645","","28940","0","0","0","2","0"
"648","","26862","0","0","0","2","0"
